City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Chuy,UY,74.14,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
7,Port Alfred,ZA,70.47,broken clouds,-33.5906,26.891,The Halyards Hotel
11,Dingle,PH,74.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
12,Hilo,US,77.0,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Hermanus,ZA,71.01,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Mar Del Plata,AR,71.01,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
15,Kapaa,US,73.4,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
16,Nakhon Phanom,TH,75.45,scattered clouds,17.3333,104.4167,ป่ายางรีสอร์ท
17,Saldanha,ZA,69.8,broken clouds,-33.0117,17.9442,Blue Bay Lodge
18,Vao,NC,77.09,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
22,Bredasdorp,ZA,64.4,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
27,Bandarbeyla,SO,78.39,clear sky,9.4942,50.8122,JABIR HOTEL
29,Blytheville,US,68.0,scattered clouds,35.9273,-89.919,Days Inn by Wyndham Blytheville
30,Cape Town,ZA,69.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
31,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
32,Healdsburg,US,62.01,few clouds,38.6105,-122.8692,Best Western Dry Creek Inn
34,East London,ZA,68.0,scattered clouds,-33.0153,27.9116,Tu Casa
36,Catuday,PH,78.49,clear sky,16.2923,119.8062,GResort
41,Rikitea,PF,79.86,clear sky,-23.1203,-134.9692,Pension Maro'i
45,Ponta Do Sol,PT,66.99,scattered clouds,32.6667,-17.1,Hotel do Campo
46,Cabo San Lucas,MX,71.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
47,Saint George,US,60.01,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
48,Akom,CM,68.25,moderate rain,2.6678,12.7109,Complexe Hôtelier Jeannette
52,Laguna,US,60.01,few clouds,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
55,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
58,Marsh Harbour,BS,77.61,clear sky,26.5412,-77.0636,Abaco Beach Resort
67,Yulara,AU,68.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
70,Jamestown,US,72.0,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
74,Lindi,TZ,78.8,moderate rain,-10.0,39.7167,Lindi paradise house
77,Ribeira Grande,PT,60.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
