City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Maceio,BR,-9.6658,-35.7353,82.4,65,75,11.5,broken clouds,2021-03-25 19:13:48
1,Clyde River,CA,70.4692,-68.5914,-4.0,84,75,12.66,snow,2021-03-25 19:14:20
2,Klaksvik,FO,62.2266,-6.589,44.6,87,90,12.66,overcast clouds,2021-03-25 19:06:08
3,Chuy,UY,-33.6971,-53.4616,74.14,81,100,11.48,moderate rain,2021-03-25 19:14:20
4,Busselton,AU,-33.65,115.3333,51.01,93,25,8.08,scattered clouds,2021-03-25 19:14:20
5,Thompson,CA,55.7435,-97.8558,6.8,66,90,6.91,overcast clouds,2021-03-25 19:14:20
6,Albany,US,42.6001,-73.9662,70.0,72,49,1.99,scattered clouds,2021-03-25 19:15:50
7,Port Alfred,ZA,-33.5906,26.891,70.47,83,62,15.95,broken clouds,2021-03-25 19:15:51
8,Ushuaia,AR,-54.8,-68.3,53.6,54,40,25.32,light rain,2021-03-25 19:15:51
9,Medzev,SK,48.7004,20.8937,43.0,61,40,5.75,scattered clouds,2021-03-25 19:14:21
10,Manbij,SY,36.5281,37.9549,42.8,81,75,4.61,light rain,2021-03-25 19:14:21
11,Dingle,PH,10.9995,122.6711,74.82,92,100,7.31,overcast clouds,2021-03-25 19:15:51
12,Hilo,US,19.7297,-155.09,77.0,73,75,4.61,broken clouds,2021-03-25 19:12:09
13,Hermanus,ZA,-34.4187,19.2345,71.01,76,84,1.99,broken clouds,2021-03-25 19:15:52
14,Mar Del Plata,AR,-38.0023,-57.5575,71.01,94,90,14.97,light rain,2021-03-25 19:15:00
15,Kapaa,US,22.0752,-159.319,73.4,83,20,3.44,few clouds,2021-03-25 19:15:52
16,Nakhon Phanom,TH,17.3333,104.4167,75.45,73,50,6.82,scattered clouds,2021-03-25 19:15:52
17,Saldanha,ZA,-33.0117,17.9442,69.8,73,54,2.3,broken clouds,2021-03-25 19:15:52
18,Vao,NC,-22.6667,167.4833,77.09,69,31,15.48,scattered clouds,2021-03-25 19:06:00
19,Colares,PT,38.7992,-9.4469,57.99,76,20,13.8,few clouds,2021-03-25 19:15:53
20,Kaitangata,NZ,-46.2817,169.8464,50.47,90,100,4.07,overcast clouds,2021-03-25 19:15:53
21,Atuona,PF,-9.8,-139.0333,80.37,77,40,21.25,scattered clouds,2021-03-25 19:15:53
22,Bredasdorp,ZA,-34.5322,20.0403,64.4,88,22,4.61,few clouds,2021-03-25 19:15:53
23,Luderitz,NA,-26.6481,15.1594,63.86,91,4,5.66,clear sky,2021-03-25 19:15:54
24,Suhbaatar,MN,50.2314,106.2078,27.63,95,100,3.06,overcast clouds,2021-03-25 19:15:54
