City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kalakamati,BW,2021-03-23 14:08:48,-20.5929,27.3121,80.6,57,75,14.97
1,Bluff,NZ,2021-03-23 14:08:48,-46.6,168.3333,54.0,98,100,5.93
2,Punta Arenas,CL,2021-03-23 14:08:48,-53.15,-70.9167,50.0,87,40,13.8
3,Saldanha,ZA,2021-03-23 14:08:49,-33.0117,17.9442,96.8,17,18,11.5
4,Verkhoyansk,RU,2021-03-23 14:08:49,67.5447,133.385,-13.56,94,100,4.41
5,Vardo,NO,2021-03-23 14:08:49,70.3705,31.1107,33.8,80,0,28.77
6,New Norfolk,AU,2021-03-23 14:09:55,-42.7826,147.0587,64.0,69,100,1.01
7,Atuona,PF,2021-03-23 14:08:50,-9.8,-139.0333,79.93,68,7,20.15
8,Arraial Do Cabo,BR,2021-03-23 14:08:50,-22.9661,-42.0278,84.2,70,20,10.36
9,Pundaguitan,PH,2021-03-23 14:09:56,6.3711,126.1689,81.86,79,100,18.95
10,Muros,ES,2021-03-23 14:09:56,42.7762,-9.0603,64.99,65,3,7.18
11,Walvis Bay,NA,2021-03-23 14:08:51,-22.9575,14.5053,77.0,53,20,11.5
12,Nha Trang,VN,2021-03-23 14:08:42,12.25,109.1833,78.8,78,40,17.27
13,Marquette,US,2021-03-23 14:09:56,46.5333,-87.6335,37.0,94,100,1.99
14,Yulara,AU,2021-03-23 14:09:57,-25.2406,130.9889,73.4,78,41,8.05
15,Tazovskiy,RU,2021-03-23 14:09:57,67.4667,78.7,17.1,94,100,12.35
16,Hilo,US,2021-03-23 14:09:57,19.7297,-155.09,66.2,77,20,8.05
17,Lubumbashi,CD,2021-03-23 14:09:57,-11.6609,27.4794,72.21,89,53,6.04
18,Erdenet,MN,2021-03-23 14:09:58,49.0333,104.0833,31.46,56,51,4.18
19,Vila Franca Do Campo,PT,2021-03-23 14:09:58,37.7167,-25.4333,55.4,94,75,19.57
20,Maldonado,UY,2021-03-23 14:09:58,-34.6667,-54.9167,73.4,73,40,2.3
21,Codigoro,IT,2021-03-23 14:09:58,44.8311,12.1142,59.0,41,0,3.44
22,Otradnoye,RU,2021-03-23 14:09:59,59.7775,30.8181,39.2,35,75,11.18
23,Puerto Ayora,EC,2021-03-23 14:09:59,-0.7393,-90.3518,77.0,94,75,4.61
24,Chuy,UY,2021-03-23 14:09:59,-33.6971,-53.4616,71.89,67,36,5.3
25,Rodrigues Alves,BR,2021-03-23 14:09:59,-7.738,-72.6509,74.89,90,99,2.62
26,Narni,IT,2021-03-23 14:10:00,42.5171,12.5231,53.01,38,5,15.99
27,Lagoa,PT,2021-03-23 14:10:00,39.05,-27.9833,54.81,61,100,15.52
28,Olinda,BR,2021-03-23 14:10:00,-8.0089,-34.8553,82.4,65,40,10.36
29,Albany,US,2021-03-23 14:10:01,42.6001,-73.9662,50.0,37,41,3.18
30,Erzin,TR,2021-03-23 14:10:01,36.9559,36.2,64.0,77,60,5.99
31,Kapaa,US,2021-03-23 14:10:01,22.0752,-159.319,66.2,94,1,6.91
32,Hobart,AU,2021-03-23 14:05:08,-42.8794,147.3294,64.0,88,40,6.91
33,Manica,FR,2021-03-23 14:10:03,49.0,-1.1667,55.4,50,0,5.75
34,Plonsk,PL,2021-03-23 14:10:03,52.6235,20.3755,50.0,53,20,10.36
35,Srednekolymsk,RU,2021-03-23 14:10:03,67.45,153.6833,0.91,96,100,13.65
36,Rikitea,PF,2021-03-23 14:10:04,-23.1203,-134.9692,79.75,72,9,9.48
37,Pangnirtung,CA,2021-03-23 14:10:04,66.1451,-65.7125,-27.4,62,20,6.91
38,Saint-Philippe,RE,2021-03-23 14:10:04,-21.3585,55.7679,84.2,74,75,4.61
39,Dikson,RU,2021-03-23 14:10:05,73.5069,80.5464,-22.74,90,69,7.07
40,San Cristobal,VE,2021-03-23 14:10:05,7.7669,-72.225,77.0,88,40,4.61
41,Bredasdorp,ZA,2021-03-23 14:10:05,-34.5322,20.0403,78.8,50,0,24.16
42,Vaini,TO,2021-03-23 14:10:05,-21.2,-175.2,71.6,100,75,2.3
43,Busselton,AU,2021-03-23 14:10:06,-33.65,115.3333,52.0,89,0,10.38
44,Yellowknife,CA,2021-03-23 14:07:30,62.456,-114.3525,-13.0,64,75,10.36
45,Nelson Bay,AU,2021-03-23 14:10:06,-32.7167,152.15,69.8,100,90,9.22
46,East London,ZA,2021-03-23 14:10:06,-33.0153,27.9116,73.4,64,20,19.57
47,Jamestown,US,2021-03-23 14:08:33,42.097,-79.2353,53.01,43,1,7.85
48,Salalah,OM,2021-03-23 14:10:07,17.0151,54.0924,86.0,54,0,5.75
49,Cape Town,ZA,2021-03-23 14:08:05,-33.9258,18.4232,90.0,35,0,11.5
50,Salinopolis,BR,2021-03-23 14:07:50,-0.6136,-47.3561,80.71,82,25,6.85
51,Ushuaia,AR,2021-03-23 14:08:04,-54.8,-68.3,46.4,87,90,5.46
52,Cururupu,BR,2021-03-23 14:10:07,-1.8283,-44.8683,87.57,56,91,5.14
53,Constitucion,CL,2021-03-23 14:10:07,-35.3333,-72.4167,65.32,56,0,9.31
54,North Bend,US,2021-03-23 14:10:08,43.4065,-124.2243,37.4,93,90,5.75
55,Port Blair,IN,2021-03-23 14:10:08,11.6667,92.75,83.1,79,89,7.09
56,Kaitangata,NZ,2021-03-23 14:10:08,-46.2817,169.8464,53.31,93,100,3.13
57,Kiunga,PG,2021-03-23 14:10:09,-6.1219,141.2906,74.44,99,100,2.64
58,Butaritari,KI,2021-03-23 14:10:09,3.0707,172.7902,81.25,79,35,20.58
59,Prince Rupert,CA,2021-03-23 14:09:22,54.3161,-130.3201,41.0,87,90,13.8
60,Cidreira,BR,2021-03-23 14:10:09,-30.1811,-50.2056,70.88,95,100,4.32
61,Narsaq,GL,2021-03-23 14:10:09,60.9167,-46.05,21.2,42,1,8.05
62,Ocos,GT,2021-03-23 14:10:10,14.5094,-92.1933,73.4,100,40,6.76
63,Richards Bay,ZA,2021-03-23 14:10:10,-28.783,32.0377,74.91,60,60,7.58
64,Angoche,MZ,2021-03-23 14:10:10,-16.2325,39.9086,81.7,78,25,7.54
65,Uglovskoye,RU,2021-03-23 14:10:10,51.3557,80.1942,34.77,89,100,13.58
66,Ilulissat,GL,2021-03-23 14:10:11,69.2167,-51.1,-4.0,92,90,20.71
67,Thompson,CA,2021-03-23 14:10:11,55.7435,-97.8558,-11.2,70,1,6.91
68,Kodiak,US,2021-03-23 14:10:11,57.79,-152.4072,33.8,75,90,11.5
69,Carnarvon,AU,2021-03-23 14:10:11,-24.8667,113.6333,75.2,73,0,20.71
70,Port Alfred,ZA,2021-03-23 14:10:12,-33.5906,26.891,73.78,63,10,19.86
71,Collie,AU,2021-03-23 14:10:12,-33.3667,116.15,51.01,83,0,5.32
72,Nauta,PE,2021-03-23 14:10:12,-4.5061,-73.5757,78.64,82,97,0.49
73,Tateyama,JP,2021-03-23 14:07:09,34.9833,139.8667,55.99,59,1,3.0
